Surname,Initials,Title,Institution,Rating,Rating_Start,Rating_Ending,PrimaryResearch,SecondaryResearch,Specializations
Surname,Initials,Title,Institution,Rating,Rating Start,Rating End,Primary Research Fields,Secondary Research Fields,Specialisations
Abafe,OA,Dr,Agricultural Research Council,Y,2021-01-01 00:00:00,2026-12-31 00:00:00,Agricultural sciences; Physical sciences,Analytical chemistry; Environmental health; Chemical engineering; Chemistry,Analytical chemistry; Chromatographic analysis; Analytical environmental chemistry; Environmental toxicology   ; Ecotoxicology; Physical chemistry; Biorefineries
Abbai,NS,Prof,University of KwaZulu-Natal,C,2022-01-01 00:00:00,2027-12-31 00:00:00,Medical sciences: Clinical; Medical sciences: Basic,Soil and water sciences,Biotechnology proteomics and molecular biology; HIV (Viruses); Sexually transmitted diseases
Abbas,M,Prof,University of Pretoria,C,2021-01-01 00:00:00,2026-12-31 00:00:00,Mathematical sciences,Applied mathematics,Optimization theory; Fuzzy logic; Best approximation; Fixed-point theory; Soft set theory; Nonlinear operator theory
Abdool Karim,Q,Prof,Centre for AIDS Programme of Research in South Africa,A,2020-01-01 00:00:00,2025-12-31 00:00:00,Health Sciences,"Medical technologies; Infectious diseases; Epidemiology, incl. burden of disease; Health promotion and disease prevention",HIV prevention; Bioethics; Public health interventions; Women - Diseases (HIV/AIDS); Adolescent health; HIV transmission; HIV and AIDS - Research; HIV and AIDS - Education; HIV and AIDS - Gender; Community-based health interventions
Abel,S,Dr,Cape Peninsula University of Technology,C,2017-01-01 00:00:00,2022-12-31 00:00:00,Health Sciences; Biological sciences,Nutrition; Health promotion and disease prevention; Biochemistry; Biotechnology,Omega 3 fatty acids; Polyunsaturated fatty acids; Chemoprevention; Cancer prevention; Oxidative stress; Nutrition and Essential fatty acids; Cell membrane research; Herbal teas - South Africa
Abelman,S,Prof,University of the Witwatersrand,C,2022-01-01 00:00:00,2027-12-31 00:00:00,Mathematical sciences; Engineering sciences,Applied mathematics; Biophysics; Mathematics,Numerical computation; Mathematical modelling; Numerical methods; Numerical modelling; Numerical mathematics; Mathematical biology
Abiodun,BJ,Prof,University of Cape Town,C,2017-01-01 00:00:00,2022-12-31 00:00:00,Physical sciences; Earth and marine sciences,Atmospheric science and meteorology,Atmospheric modelling; Atmospheric chemistry; Climate change and meteorology; Dynamic meteorology; Numerical meteorology models; Air dispersion modelling; Climate change mitigation
Abiye,TA,Prof,University of the Witwatersrand,C,2017-01-01 00:00:00,2022-12-31 00:00:00,Earth and marine sciences,Geology; Hydrology,Hydrogeology
Aboalez,KM,Prof,Cape Peninsula University of Technology,C,2020-01-01 00:00:00,2025-12-31 00:00:00,Engineering sciences,Electrical engineering,Smart grids; Industrial wireless sensor networks; Electrical Power and Machines; Distributed generation of electric power   ; Renewable and Sustainable Energy; Advanced control methods; Electrical energy management; Electrical load management; Energy system optimization
Abodunrin,OJ,Prof,University of Limpopo,C,2020-01-01 00:00:00,2025-12-31 00:00:00,Humanities,Languages and literature,African fiction (English); Postcolonial literary studies; African Indigenous Knowledge Systems to promote African development 
Abolnik,C,Prof,University of Pretoria,C,2018-01-01 00:00:00,2023-12-31 00:00:00,Agricultural sciences; Biological sciences,Veterinary science; Microbiology; Immunology; Molecular and cell biology,Genomics; Molecular evolution; Molecular epidemiology; Veterinary diagnostics; Veterinary virology; Veterinary epidemiology; Vaccine biotechnology
Abou-El-Hossein,K,Prof,Nelson Mandela University,C,2022-01-01 00:00:00,2027-12-31 00:00:00,Engineering sciences; Technologies and applied sciences,Manufacturing and process technologies; Mechanical engineering; Material sciences and technologies,Machining; Precision manufacturing
Abrahamse,H,Prof,University of Johannesburg,B,2022-01-01 00:00:00,2027-12-31 00:00:00,Medical sciences: Basic; Biological sciences,Biophysics; Health promotion and disease prevention; Biochemistry; Molecular and cell biology,Adult stem cell research; Wound healing; Photodynamic therapy; Photobiology; Photochemistry; Nanomaterials and Nanotechnology; Cancer stem cells; Photobiomodulation
Abratt,R,Prof,University of the Witwatersrand,B,2018-01-01 00:00:00,2023-12-31 00:00:00,Economic sciences,Marketing,Branding; Corporate reputation; Corporate identity
Abu-Mahfouz,AM,Dr,Council for Scientific and Industrial Research,C,2019-01-01 00:00:00,2024-12-31 00:00:00,Engineering sciences; Information and Computer science,Communication technologies,Control and Optimization; Wireless sensor networks; Software Defined Networking - Wired/Wireless Technology; Internet of things
Acha-anyi,PN,Dr,Walter Sisulu University,C,2022-01-01 00:00:00,2027-12-31 00:00:00,Humanities; Social Sciences,Management; Business administration; Tourism; Development studies,Community development; Natural resources - Sustainable development; Business strategy; Customer relationship management; Sustainable livelihoods; Sustainable tourism; Entrepreneurship and Small business management
Achilonu,IA,Dr,University of the Witwatersrand,C,2020-01-01 00:00:00,2025-12-31 00:00:00,Biological sciences,Biochemistry; Molecular and cell biology,Molecular biology (Structural);  Drug-Protein Interactions ; Biocrystallisation
Ackermann,RR,Prof,University of Cape Town,B,2017-01-01 00:00:00,2022-12-31 00:00:00,Biological sciences; Earth and marine sciences,Archaeology; Zoology,Biological anthropology; Human evolution; Human and primate anatomy; Evolutionary theory; Evolutionary biology; Morphology
Ackers,B,Prof,University of South Africa,C,2018-01-01 00:00:00,2023-12-31 00:00:00,Social Sciences; Economic sciences,Management; Sustainable Development; Accounting,Integrated Reporting; Environmental auditing; Corporate governance; Sustainable development; Environmental sustainability
Adali,S,Prof,University of KwaZulu-Natal,B,2021-01-01 00:00:00,2026-12-31 00:00:00,Engineering sciences,Mechanical engineering,Nano Composites; Design optimization; Composite materials; Carbon nanotubes; Piezoelectric materials
Adams,JB,Prof,Nelson Mandela University,B,2022-01-01 00:00:00,2027-12-31 00:00:00,Earth and marine sciences; Biological sciences,Botany; Ecology and environmental science; Marine biology,Estuarine and coastal ecosystems ; Aquatic ecosystem health; Estuarine water quality; Estuarine ecology; Mangroves; Microalgae
Addison,CA,Prof,University of Zululand,C,2020-01-01 00:00:00,2025-12-31 00:00:00,Arts; Humanities,Languages and literature,Literary criticism
Addison,P,Prof,Stellenbosch University,C,2021-01-01 00:00:00,2026-12-31 00:00:00,Agricultural sciences,Ecology and environmental science,Agricultural entomology
Adeagbo,OA,Prof,University of Johannesburg,Y,2018-01-01 00:00:00,2023-12-31 00:00:00,Social Sciences,Sociology,Gender and sexuality; Applied sociology; Sexual and reproductive health; HIV/AIDS research; Rural health services; Implementation science; Global health
Adefuye,AO,Dr,University of the Free State,Y,2021-01-01 00:00:00,2026-12-31 00:00:00,Health Sciences; Medical sciences: Basic,Biochemistry; Health promotion and disease prevention; Molecular and cell biology,Medical education; Molecular medicine; Biomedical sciences
Ade-Ibijola,AO,Prof,University of Johannesburg,Y,2019-01-01 00:00:00,2024-12-31 00:00:00,Information and Computer science,Computer science,Automata theory and formal languages; Computer applications; Computer science education; Applied Artificial Intelligence; Algorithms
Adejoro,FA,Dr,Mangosuthu University of Technology,Y,2022-01-01 00:00:00,2027-12-31 00:00:00,Biological sciences; Agricultural sciences,Agricultural Sciences; Animal production; Animal Science; Nutrition,Animal  production; Livestock productivity; Livestock production; Animal nutrition science; Ruminant nutrition; Sustainable livestock production systems
Adekambi,F,Prof,University of Johannesburg,C,2020-01-01 00:00:00,2025-12-31 00:00:00,Mathematical sciences; Economic sciences,Actuarial Science; Statistics and probability,Actuarial sciences; Financial mathematics
Adelabu,SAA,Prof,University of the Free State,Y,2020-01-01 00:00:00,2025-12-31 00:00:00,Technologies and applied sciences; Earth and marine sciences,Physical geography; Ecology and environmental science; Forest science; Agriculture,Human settlements - Planning; Mountain environments; Climatology; Hyperspectral remote sensing; Multispectral remote sensing; Arid lands ecology
Adeleke,MA,Dr,University of KwaZulu-Natal,C,2022-01-01 00:00:00,2027-12-31 00:00:00,Biological sciences; Agricultural sciences,Animal Diseases; Animal Breeding & Genetics,Parasite Genetics; Ruminant gut microbiome; Immunoinformatics; Indigenous chicken; Animal breeding; Animal genetics; Animal  production; Animal biotechnology
Adeleke,OO,Dr,University of the Witwatersrand,Y,2021-01-01 00:00:00,2026-12-31 00:00:00,Law,International law; Commercial Law,Business and human rights; Human rights; Access to information; International investment law
Adeleke,RA,Prof,North-West University,C,2019-01-01 00:00:00,2024-12-31 00:00:00,Biological sciences; Agricultural sciences,Microbiology; Ecology and environmental science; Agriculture; Soil and water sciences,Ectomycorrhizas; Soil and water resources; Mycology; Environmental biotechnology; Environmental management; Microbiology; Bacteriology; Wastewater; Commercial potential of mycorrhizas; Agricultural biotechnology
Adem,AR,Prof,University of South Africa,C,2022-01-01 00:00:00,2027-12-31 00:00:00,Mathematical sciences,Applied mathematics,Differential equations
Adeola,AM,Dr,South African Weather Service,Y,2020-01-01 00:00:00,2025-12-31 00:00:00,Technologies and applied sciences; Physical sciences,Environmental health; Physical geography; Earth Science; Health systems research,Climate change; Geoinformatics; Remote sensing; Geographical information systems - Specialist; Geography; Applied Climatology and Climate Change
Adeola,HA,Dr,University of Cape Town,Y,2018-01-01 00:00:00,2023-12-31 00:00:00,Health Sciences; Medical sciences: Basic,Public Health; Molecular and cell biology; Medical Biotechnology; Biochemistry,Oral pathology; Medical biochemistry; Cancer research; Anatomical pathology; Prostate cancer - Genomics and proteomics; Head - Cancer; Dental public health; Dentistry; Biotechnology proteomics and molecular biology; Functional genomics
Aderibigbe,BA,Prof,University of Fort Hare,C,2021-01-01 00:00:00,2026-12-31 00:00:00,Physical sciences; Chemical sciences,Organic chemistry; Polymer science; Chemistry,Drug nano carriers; Drug discovery and Synthetic chemistry; Drug delivery systems design
Adesina,JOT,Prof,University of South Africa,B,2017-01-01 00:00:00,2022-12-31 00:00:00,Social Sciences,Sociology,Social policy
Adetokunboh,OO,Dr,Stellenbosch University,C,2021-01-01 00:00:00,2026-12-31 00:00:00,Health Sciences; Medical sciences: Basic,"Epidemiology, incl. burden of disease; Infectious diseases; Paediatrics and child health",Vaccine-preventable disease ; HIV and AIDS - Epidemiology; HIV - Prevention of Mother-to-Child transmission; Antiretroviral therapy; Systematic review and Meta-analysis; vaccines and Immunisation Services
Adetunji,O,Prof,University of Pretoria,C,2020-01-01 00:00:00,2025-12-31 00:00:00,Engineering sciences; Mathematical sciences,Artificial intelligence; Management; Industrial engineering; Operations research,Manufacturing Planning and Optimisation; Supply chain optimisation; Supply Chain Performance Measurement; Operations management; Supply chain management
Adewunmi,YA,Dr,University of the Witwatersrand,Y,2017-01-01 00:00:00,2022-12-31 00:00:00,Social Sciences,Sustainable Development; Quality Management,Facilities management
Adeyelure,TS,Dr,Tshwane University of Technology,Y,2022-01-01 00:00:00,2027-12-31 00:00:00,Information and Computer science,Information Systems,Cloud computing; Big Data Analytics; Business information systems; Buisness Informatics
Adeyemo,KS,Dr,University of Pretoria,C,2022-01-01 00:00:00,2027-12-31 00:00:00,Social Sciences,Education,Higher education (International context); Social justice - Education; Higher education policy; Service Quality in Higher Education
Adhikari,M,Prof,University of Cape Town,B,2019-01-01 00:00:00,2024-12-31 00:00:00,Humanities; Social Sciences,Historical studies,Genocide studies; Settler colonialism
Adler,JB,Prof,University of the Witwatersrand,A,2018-01-01 00:00:00,2023-12-31 00:00:00,Social Sciences,Education,Mathematics education; Teacher education
Afolayan,AJ,Prof,University of Fort Hare,C,2019-01-01 00:00:00,2024-12-31 00:00:00,Agricultural sciences; Biological sciences,Botany; Pharmacology - Pharmaceutical sciences; Microbiology; Biochemistry,Enriched foods; Biofunctionality of food; Phytomedicine; In vitro toxicology; Ethnopharmacology; Antimicrobial compound - Isolation and characterisation; Ethnobotany; Drugs from plants; Bioprospecting; Plant sciences
Africa,CWJ,Prof,University of the Western Cape,C,2018-01-01 00:00:00,2023-12-31 00:00:00,Medical sciences: Basic; Health Sciences,"Medical technologies; Infectious diseases; Epidemiology, incl. burden of disease; Obstetrics and maternal health",Medical microbiology; Oral microbiology; Anaerobe bacteriology; Women's health; Sexually transmitted diseases; Drug resistance; Diagnostic microbiology; Microbial ecology; Public oral health; Women - Diseases (HIV/AIDS)
Afullo,TJO,Prof,University of KwaZulu-Natal,C,2019-01-01 00:00:00,2024-12-31 00:00:00,Engineering sciences; Information and Computer science,Communication technologies; Information systems and technologies; Electronic engineering,Microwave communication systems - Engineering; Telecommunication networks; Free space optical communication; Power Line Communications
Agbor,AAA,Prof,North-West University,C,2021-01-01 00:00:00,2026-12-31 00:00:00,Law; Social Sciences,Public law; International law; Criminal law; Constitutional and administrative law,Women - Crimes against; Administrative law; Public international law; International humanitarian law; International criminal law; International human rights law; Rule of law - Africa; Good governance; International Criminal Tribunal for the former Yugoslavia; Criminal law
Aghoghovwia,PO,Dr,University of the Free State,Y,2020-01-01 00:00:00,2025-12-31 00:00:00,Arts; Humanities,Languages and literature; Cultural studies,Ecocriticism; Environmental Humanities; Postcolonial literary studies; African literary studies; Nollywood - Nigerian film industry
Agumba,JNA,Dr,Tshwane University of Technology,C,2022-01-01 00:00:00,2027-12-31 00:00:00,Social Sciences; Engineering sciences,Engineering management; Construction industry and building,Construction management; Construction health and safety; Construction - Project management; Construction - Sustainable development; Small and medium enterprises
Agyingi,CA,Dr,University of South Africa,Y,2018-01-01 00:00:00,2023-12-31 00:00:00,Mathematical sciences,Mathematics,Asymmetric topology
Aharonson,V,Prof,University of the Witwatersrand,C,2017-01-01 00:00:00,2022-12-31 00:00:00,Engineering sciences,Other information and computer technologies; Biomedical Technology; Electrical engineering,Signal processing; Applied Artificial Intelligence; Machine learning; Speech processing
Ahmad,A,Dr,University of the Witwatersrand,Y,2018-01-01 00:00:00,2023-12-31 00:00:00,Medical sciences: Basic; Biological sciences,Biochemistry; Infectious diseases; Microbiology,Mycology; Drug discovery - Natural sources
