id,Institution,Location
1,University of Johannesburg,Johannesburg Gauteng
2,University of the Witwatersrand,Johannesburg Gauteng
3,Stellenbosch University,Stellenbosch Western Cape
4,Rhodes University,Grahamstown Eastern Cape
5,University of Pretoria,Pretoria Gauteng
6,Universitat der Bundeswehr Munchen,Neubiberg Germany
7,Nelson Mandela University,Gqeberha Eastern Cape
8,University of KwaZulu-Natal,Durban KwaZulu-Natal
9,University of Cape Town,Cape Town Western Cape
10,North-West University,Potchefstroom Mahikeng and Vanderbijlpark North West
11,Tshwane University of Technology,Pretoria Gauteng
12,Mintek,Ranburg Gauteng
13,University of the Western Cape,Cape Town Western Cape
14,University of the Free State,Bloemfontein Free State
15,South African National Space Agency,Pretoria Gauteng
16,Council for Scientific and Industrial Research,Pretoria Gauteng
17,Central University of Technology,Bloemfontein Free State
18,University of South Africa,South Africa
19,South African Environmental Observation Network,Pretoria Gauteng
20,Sol Plaatje University,Kimberley Northern Cape
21,Durban University of Technology,Durban KwaZulu-Natal
22,University of Venda,Venda Limpopo
23,University of Limpopo,Mankweng Limpopo
